,tweets,sentiment,predict_sentiment
4794,"['informasi', 'vaksin', 'booster', 'dom', 'tangerang', 'plsssssssss']",1.0,1.0
1268,"['anuar', 'ibrahim', 'rompak', 'rm', 'billion', 'nama', 'vaksin', 'booster']",-1.0,1.0
4076,"['gais', 'nonton', 'konser', 'besok', 'vaksin', 'booster', 'tiket', 'bawa', 'gais', 'tinggal', 'makan', 'minum', 'hp', 'powerbank', 'lightstick', 'sebenernya', 'enjoy', 'concert', 'riweuuhh']",1.0,1.0
5058,"['maaf', 'vaksin', 'tiga', 'kenan', 'kakak', 'jarak', 'kakak', 'vaksin', 'booster', 'terimakasih']",1.0,1.0
4004,"['takut', 'vaksin', 'booster']",1.0,1.0
2988,"['wilujeng', 'enjing', 'wargi', 'stok', 'vaksin', 'sedia', 'ayo', 'vaksinasi', 'wargi', 'vaksin', 'booster', 'mimin', 'rangkum', 'jadwal', 'vaksin', 'booster', 'tanggal', 'november', 'lokasi', 'kota']",-1.0,-1.0
3246,"['selamat', 'malam', 'tumpang', 'vaksin', 'booster', 'bukti', 'via', 'aplikasi', 'peduli', 'lindung', 'kendala', 'aplikasi', 'peduli', 'lindung', 'tunjuk', 'kartu', 'vaksin', 'terima', 'kasih']",1.0,1.0
5768,"['saran', 'kai', 'indonesia', 'kartutandapenduduk', 'booking', 'tiket', 'vaksin', 'booster', 'hasil', 'proses', 'pombookingannya', 'kekgini', 'rugi', 'baca', 'informasi', 'trbaru', 'buka', 'informasi', 'kai']",1.0,1.0
2716,"['urus', 'wisuda', 'ribet', 'vaksin', 'booster', 'cari', 'make', 'up', 'hitam', 'cari', 'inap', 'kantong', 'ku', 'bolong', 'teman']",-1.0,-1.0
2857,"['nang', 'maksimal', 'bentuk', 'cegah', 'vaksin', 'booster', 'teman']",1.0,1.0
84,"['vaksin', 'booster', 'terap', 'prokes', 'kunci', 'hindar', 'sebar', 'virus', 'covid']",1.0,1.0
800,"['vaksin', 'booster', 'berangkat', 'kakak']",-1.0,-1.0
553,"['tiket', 'otomatis', 'tulis', 'vaksin', 'booster']",1.0,1.0
3426,"['sobatkom', 'covid', 'waspada', 'vaksin', 'booster']",1.0,1.0
4775,"['tubuh', 'manusia', 'periksa', 'vaksin', 'booster', 'suntik', 'manusia', 'kandung', 'virusdrimana', 'dokter', 'sesat', 'oknum', 'rencana', 'niat', 'jahat', 'derita']",-1.0,-1.0
5001,"['jarak', 'vaksin', 'booster', 'vaksin']",1.0,1.0
2318,"['huhahuhah', 'habis', 'vaksin', 'booster']",1.0,1.0
2815,"['urus', 'skck', 'vaksin', 'booster', 'cuiy', 'ill', 'try', 'luck', 'kai', 'moga', 'packaging', 'nyah']",1.0,1.0
157,"['takut', 'vaksin', 'booster']",1.0,1.0
1657,"['lupa', 'dapat', 'vaksin', 'booster', 'vaksin']",1.0,1.0
1406,"['personil', 'pantai', 'cermin', 'laksana', 'vaksin', 'booster', 'klinik', 'kepolisianresor', 'sergai', 'kepolisianresor', 'sergai']",1.0,1.0
5427,"['informasi', 'vaksin', 'booster', 'daerah', 'depok', 'gaisss']",1.0,1.0
604,"['cegah', 'sebar', 'virus', 'covid', 'netizen', 'ayo', 'sukses', 'vaksin', 'booster', 'unjung', 'gerai', 'vaksin', 'lalu', 'vaksin', 'booster', 'indonesia', 'sehat']",1.0,1.0
535,"['masyarakat', 'rentan', 'terima', 'vaksin', 'covid', 'dosis', 'tiga', 'booster', 'senin', 'desember', 'program', 'vaksin', 'booster', 'masyarakat', 'jalan']",-1.0,-1.0
5761,"['ayo', 'vaksin', 'booster', 'hapsun', 'pagi']",1.0,1.0
2456,"['ojol', 'cari', 'order', 'mall', 'sulit', 'mall', 'vaksin', 'scan', 'peduli', 'lindungith', 'blng', 'wajib', 'vaksin', 'vaksin', 'vaksin', 'booster', 'smpe', 'tahap']",-1.0,-1.0
5545,"['vaksin', 'booster', 'lupa', 'terap', 'protokol', 'sehat', 'putus', 'sebar', 'covid', 'varian', 'omicron', 'taat', 'promes']",1.0,1.0
